state,abbr,healthcare,obesity,smokes,poverty,age,income,,Correlation,,,
Alabama,AL,13.9,33.5,21.1,19.3,38.6,42830,,,healthcare,obesity,smokes
Alaska,AK,15,29.7,19.9,11.2,33.3,71583,,poverty,0.524484363,0.462346243,0.520810789
Arizona,AZ,14.4,28.9,16.5,18.2,36.9,50068,,age,-0.385218228,-0.007688827,0.248078093
Arkansas,AR,16.3,35.9,24.7,18.9,37.8,41262,,income,-0.434092303,-0.65113455,-0.660069946
California,CA,14.8,24.7,12.9,16.4,36,61933,,,,,
Colorado,CO,12.8,21.3,15.7,12,36.3,61303,,,,,
Connecticut,CT,8.7,26.3,15.4,10.8,40.5,70048,,,,,
Delaware,DE,8.7,30.7,19.9,12.5,39.6,59716,,,,,
Washington D.C.,DC,8.3,21.7,16.4,17.7,33.8,71648,,,,,
Florida,FL,17.6,26.2,17.7,16.5,41.6,47463,,,,,
Georgia,GA,20.9,30.5,17.4,18.3,36.1,49321,,,,,
Hawaii,HI,8.1,22.1,14.1,11.4,38.1,69592,,,,,
Idaho,ID,16.5,28.9,15.9,14.8,35.9,47861,,,,,
Illinois,IL,11.9,29.3,16.5,14.4,37.5,57444,,,,,
Indiana,IN,14.8,32.7,22.9,15.2,37.4,49446,,,,,
Iowa,IA,7.7,30.9,18.5,12.2,38.2,53712,,,,,
Kansas,KS,14.5,31.3,18.1,13.6,36.2,52504,,,,,
Kentucky,KY,10,31.6,26.2,19.1,38.5,42958,,,,,
Louisiana,LA,18.7,34.9,24,19.8,36.1,44555,,,,,
Maine,ME,11,28.2,19.3,14.1,44.1,49462,,,,,
Maryland,MD,9.2,29.6,14.6,10.1,38.3,73971,,,,,
Massachusetts,MA,4.6,23.3,14.7,11.6,39.4,69160,,,,,
Michigan,MI,10.3,30.7,21.2,16.2,39.6,49847,,,,,
Minnesota,MN,7.3,27.6,16.3,11.5,37.8,61481,,,,,
Mississippi,MS,18.8,35.5,23,21.5,36.7,39680,,,,,
Missouri,MO,12.9,30.2,20.6,15.5,38.5,48363,,,,,
Montana,MT,12.9,26.4,19.9,15.4,39.6,46328,,,,,
Nebraska,NE,12.4,30.2,17.3,12.4,36.2,52686,,,,,
Nevada,NV,17.1,27.7,17,15.2,37.4,51450,,,,,
New Hampshire,NH,11.4,27.4,17.5,9.2,42.5,66532,,,,,
New Jersey,NJ,12.5,26.9,15.1,11.1,39.4,71919,,,,,
New Mexico,NM,15.4,28.4,19.2,21.3,37.2,44803,,,,,
New York,NY,12.3,27,14.4,15.9,38.2,58878,,,,,
North Carolina,NC,16.1,29.7,19.1,17.2,38.3,46556,,,,,
North Dakota,ND,8.8,32.2,19.9,11.5,35.1,59029,,,,,
Ohio,OH,10.2,32.6,21,15.8,39.4,49308,,,,,
Oklahoma,OK,13.9,33,21.1,16.6,36.2,47529,,,,,
Oregon,OR,11,27.9,17,16.6,39.3,51075,,,,,
Pennsylvania,PA,10.1,30.2,19.9,13.6,40.7,53234,,,,,
Rhode Island,RI,8,27,16.3,14.3,39.8,54891,,,,,
South Carolina,SC,17.1,32.1,21.5,18,38.8,45238,,,,,
South Dakota,SD,9.9,29.8,18.6,14.2,36.6,50979,,,,,
Tennessee,TN,14.2,31.2,24.2,18.3,38.6,44361,,,,,
Texas,TX,24.9,31.9,14.5,17.2,34.3,53035,,,,,
Utah,UT,13.9,25.7,9.7,11.7,30.5,60922,,,,,
Vermont,VT,6.7,24.8,16.4,12.2,42.8,54166,,,,,
Virginia,VA,13.1,28.5,19.5,11.8,37.7,64902,,,,,
Washington,WA,10.7,27.3,15.3,13.2,37.5,61366,,,,,
West Virginia,WV,10.1,35.7,26.7,18.3,41.9,41059,,,,,
Wisconsin,WI,8.5,31.2,17.4,13.2,39.2,52622,,,,,
Wyoming,WY,15.1,29.5,19.5,11.2,36.6,57055,,,,,